용도,허가번호,업종,품목명,성분명(국문),성분명(영문),허가일,업체명
동물용의약품,016-001,수입,바이오웩신 비,비타민공급약,Vitamin supplemental preparations,1993-11-26,(주)서울신약
동물용의약품,016-005,수입,아목시탑 15 LA(Amoxi-top 15 LA),아목시실린,Amoxicillin,2010-06-23,(주)서울신약
동물용의약품,016-006,수입,아목시탑 20 LA(Amoxi-top 20 LA),아목시실린,Amoxicillin,2010-06-23,(주)서울신약
동물용의약품,016-008,수입,콕시닐(Coxynil),마두라마이신암모늄,Maduramycin ammonium,2003-07-30,(주)서울신약
동물용의약품,016-010,수입,퀼루멜로 주(멜록시캄)(Qilumelo-Meloxicam Injection 2),멜록시캄,Meloxicam,2018-07-17,(주)서울신약
동물용의약품,018-002,제조,뉴트로피쉬1호,기타영양공급약,Mineral supplemental preparations,1977-11-23,이화팜텍(주)
동물용의약품,018-003,제조,종계용하이믹스,비타민 A,Vitamin A,1977-11-23,이화팜텍(주)
동물용의약품,018-004,제조,육계용 하이믹스,기타영양공급약,Mineral supplemental preparations,1977-11-23,이화팜텍(주)
동물용의약품,018-005,제조,자돈용 하이믹스,기타영양공급약,Mineral supplemental preparations,1977-11-23,이화팜텍(주)
동물용의약품,018-006,제조,뉴트로피쉬2호(수산용),기타영양공급약,Mineral supplemental preparations,1977-11-23,이화팜텍(주)
동물용의약품,018-007,제조,뉴스타포스-축우,기타영양공급약,Mineral supplemental preparations,1977-11-23,이화팜텍(주)
동물용의약품,018-008,제조,하이비졸 수용산(HIVISOL),기타영양공급약,Mineral supplemental preparations,1977-11-23,이화팜텍(주)
동물용의약품,018-009,제조,이화 타이로신,타이로신,Tylosin,1977-11-23,이화팜텍(주)
동물용의약품,018-011,제조,플라보마이신(수출용)(Bambagain),밤버마이신,Bambermycin,1978-09-01,이화팜텍(주)
동물용의약품,018-012,제조,제로타마이드(수출용)(ZEROTAMIDE),프탈릴설파치아졸+탄닌산젤라틴,Phthalylsulfathiazole+Gelatin tannate,1978-09-01,이화팜텍(주)
동물용의약품,018-013,제조,옥시크린(OXYCRIN),옥시테트라싸이클린염산염,Oxytetracycline HCl,1978-09-01,이화팜텍(주)
동물용의약품,018-015,제조,이화-바시트라신55,바시트라신 아연,Zn-Bacitracin,1978-09-01,이화팜텍(주)
동물용의약품,018-017,제조,이화-스트레스(수출용),페니실린지칼륨+스트렙토마이신,Penicillin G potassium+Streptomycin sulfate,1978-09-01,이화팜텍(주)
동물용의약품,018-018,제조,이화-암프롤,암프롤리움,Amprolium HCl,1978-09-01,이화팜텍(주)
동물용의약품,018-026,제조,플라보-콜(수출용)(FLAVO-COL),콜리스틴+밤버마이신,Colistin sulfate+Bambermycin,1983-02-25,이화팜텍(주)
동물용의약품,018-028,제조,수산용 나미퀸,플루메퀸,Flumequine,1983-10-21,이화팜텍(주)
동물용의약품,018-042,제조,폴리안-10,파인애플추출물,Pineapple extract,1987-09-15,이화팜텍(주)
동물용의약품,018-047,제조,이녹실 양어(INOXYL),옥소린산,Oxolinic acid,1988-10-14,이화팜텍(주)
동물용의약품,018-050,제조,리터메이트(LITTERMATE),칼슘글루코네이트+트립토판+유산균+포도당,Calcium gluconate+Tryptophan+Lactobacillus+Glucose,1990-07-19,이화팜텍(주)
동물용의약품,018-051,제조,액티브이스트-30(ACTIVE YEAST-30),사카로마이세스,Saccharomyces,1990-07-19,이화팜텍(주)
동물용의약품,018-052,제조,액티브이스트-150(ACTIVE YEAST-150),사카로마이세스,Saccharomyces,1990-07-19,이화팜텍(주)
동물용의약품,018-054,제조,옴니쿠어-과립,펜벤다졸,Fenbendazole,1990-07-19,이화팜텍(주)
동물용의약품,018-055,제조,폴리안-아쿠아(수산용),파인애플추출물,Pineapple extract,1991-01-21,이화팜텍(주)
동물용의약품,018-056,제조,옴니쿠어산 피,펜벤다졸,Fenbendazole,1991-11-16,이화팜텍(주)
동물용의약품,018-057,제조,쥬락-에프에이(ZOOLAC-F.A),락토바실러스액시도필러스,Lactobacillus acidophillus,1993-01-14,이화팜텍(주)
동물용의약품,018-058,제조,쥬락-큐(ZOO LAC-Q),락토바실러스액시도필러스,Lactobacillus acidophillus,1993-01-14,이화팜텍(주)
동물용의약품,018-059,제조,프로엠,기타영양공급약,Mineral supplemental preparations,1994-06-28,이화팜텍(주)
동물용의약품,018-060,제조,바이-씨,비타민 C,Vitamin C,1994-06-28,이화팜텍(주)
동물용의약품,018-061,제조,수산용 바이-씨,비타민 C,Vitamin C,1994-06-28,이화팜텍(주)
동물용의약품,018-062,제조,수산용 오티씨 250,옥시테트라싸이클린염산염,Oxytetracycline HCl,1996-07-22,이화팜텍(주)
동물용의약품,018-063,제조,바이페롤(수산용),비타민 C/E,Vitamin C/E,1996-09-12,이화팜텍(주)
동물용의약품,018-066,제조,주문용배합사료첨가제,주문용사료첨가제,Custom,1997-06-28,이화팜텍(주)
동물용의약품,018-067,제조,아쿠아 에리스로,에리스로마이신,Erythromycin,1998-05-04,이화팜텍(주)
동물용의약품,018-068,제조,수산용 치암페니콜 100산,치암페니콜,Thiamphenicol,1998-05-04,이화팜텍(주)
동물용의약품,018-069,제조,이화 타이로설파,타이로신+설파메타진,Tylosin phosphate+Sulfamethazine,1998-11-11,이화팜텍(주)
동물용의약품,018-070,제조,살리신 콕스,살리노마이신나트륨,Salinomysin sodium,1998-11-11,이화팜텍(주)
동물용의약품,018-072,제조,이화 암피실린,암피실린,Ampicillin,1999-07-21,이화팜텍(주)
동물용의약품,018-073,제조,글루타 아쿠아(수산용),글루타치온+비타민 E,Glutathione+Vitamin E,1999-10-29,이화팜텍(주)
동물용의약품,018-074,제조,이화 마두라-5,마두라마이신암모늄,Maduramycin ammonium,2000-04-23,이화팜텍(주)
동물용의약품,018-075,제조,이화아목사100(EwhaAmoxa 100),아목시실린,Amoxicillin,2000-08-21,이화팜텍(주)
동물용의약품,018-076,제조,아프마믹스 100,아프라마이신,Apramycin,2000-11-16,이화팜텍(주)
동물용의약품,018-077,제조,이화 아프마 수용산250,아프라마이신,Apramycin,2000-11-16,이화팜텍(주)
동물용의약품,018-080,제조,아쿠아 하이독시,독시싸이클린,Doxycycline,2001-06-09,이화팜텍(주)
동물용의약품,018-083,제조,울트라 바이씨(ULTRA VI-C),비타민 C/B1/B12,Vitamin C/B1/B12,2001-09-26,이화팜텍(주)
동물용의약품,018-086,제조,윌로벳 유한 윌로우 에스.티.피,페니실린지프로카인+클로르테트라싸이클린염산염+설파치아졸,Penicillin G procaine+Chlortetracyclin HCl+Sulfathiazole,2002-01-12,이화팜텍(주)
동물용의약품,018-087,제조,수산용울트라믹스(Ultramix Fish),기타영양공급약,Mineral supplemental preparations,2002-08-26,이화팜텍(주)
동물용의약품,018-088,제조,티아린 39(Tialin-39),티아물린,Tiamulin,2003-02-24,이화팜텍(주)
동물용의약품,018-089,제조,역시네오220(OXYNEO 220 WS),옥시테트라싸이클린염산염+네오마이신,OTC HCL+Neomycin,2003-02-24,이화팜텍(주)
동물용의약품,018-090,제조,아목사피쉬(AmoxaFish),아목시실린,Amoxicillin,2003-04-30,이화팜텍(주)
동물용의약품,018-091,제조,울트라 플로르(Ultra floro),플로르페니콜,Florfenicol,2003-05-16,이화팜텍(주)
동물용의약품,018-092,제조,울트라플로르 20(Ultra Floro 20),플로르페니콜,Florfenicol,2003-07-02,이화팜텍(주)
동물용의약품,018-093,제조,수산용바이탈비타액,비타민+아미노산,Vitamin+Amino acid,2004-04-08,이화팜텍(주)
동물용의약품,018-094,제조,네오산 50(Neosan 50),네오마이신,Neomycin sulfate,2004-06-02,이화팜텍(주)
동물용의약품,018-095,제조,네오산 P(Neosan P),네오마이신,Neomycin sulfate,2004-06-11,이화팜텍(주)
동물용의약품,018-096,제조,윌로벳피씨액(WillowVet P.C. Solution),피페라진,Piperazine,2004-12-21,이화팜텍(주)
동물용의약품,018-097,제조,바이오맥스,효소+미생물배양체,Enzymes+Microorganism,2004-12-21,이화팜텍(주)
동물용의약품,018-098,제조,바이탈비타액,비타민공급약,Vitamin supplemental preparations,2005-02-21,이화팜텍(주)
동물용의약품,018-100,제조,세팍신 수용산(Aquacephaxin W.S),세파렉신,Cephalexin,2005-07-15,이화팜텍(주)
동물용의약품,018-101,제조,이화타이로신 500수용산,타이로신,Tylosin,2005-07-18,이화팜텍(주)
동물용의약품,018-102,제조,울트라피린-씨,아스피린(아세틸살리실산) 비타민C(아스코르브산),Aspirin(Acetylsalicylic acid) Vitamin C(Ascorbic acid),2005-08-23,이화팜텍(주)
동물용의약품,018-104,제조,울트라플로르 40,플로르페니콜,Florfenicol,2006-04-21,이화팜텍(주)
동물용의약품,018-105,제조,뉴트로피쉬플러스,비타민 A,Vitamin A,2006-06-09,이화팜텍(주)
동물용의약품,018-106,제조,뉴트로피쉬골드,비타민 A,Vitamin A,2006-06-09,이화팜텍(주)
동물용의약품,018-108,제조,피시마린,포르말린,Formalin,2006-11-02,이화팜텍(주)
동물용의약품,018-110,제조,엔플록스 100(Enroflox 100),엔로플록사신,Enrofloxacin,2006-12-01,이화팜텍(주)
동물용의약품,018-111,제조,페나목스200(Phenamox 200),아목시실린트리하이드레이트+아세타미노펜,Amoxicillin trihydrate+Acetaminophen,2007-01-29,이화팜텍(주)
동물용의약품,018-112,제조,윌로벳 유한 티아믹스,티아물린,Tiamulin,2008-01-09,이화팜텍(주)
동물용의약품,018-113,제조,윌로벳 유한 프로펜,플로르페니콜,Florfenicol,2008-01-09,이화팜텍(주)
동물용의약품,018-114,제조,윌로벳 유한-키목신 플러스(WillowVet Yuhan-Kymoxin Plus),아목시실린,Amoxicillin,2008-01-09,이화팜텍(주)
동물용의약품,018-115,제조,윌로마린 유한 키목신 플러스(WillowMarine Yuhan-Kymoxin Plus),아목시실린,Amoxicillin,2008-01-09,이화팜텍(주)
동물용의약품,018-116,제조,윌로벳 유한 키목신(WillowVet Yuhan-Kymoxin),아목시실린,Amoxicillin,2008-01-09,이화팜텍(주)
동물용의약품,018-117,제조,윌로벳 유한 키목신 파워(WillowVet Yuhan-Kymoxin Power),아목시실린+아세타미노펜+에페드린,Amoxicillin+Acetaminophen+Ephedrine,2008-01-09,이화팜텍(주)
동물용의약품,018-118,제조,윌로벳 유한 엘비씨,장내균,Enterococcus,2008-02-18,이화팜텍(주)
동물용의약품,018-119,제조,윌로벳 유한 엘비씨에스씨,유산균+장내균+효모,Lactobacillus+Enterococcus+Saccharomyces,2008-02-18,이화팜텍(주)
동물용의약품,018-121,제조,윌로벳 유한 윌로우 가용산,클로르테트라사이클린염산염,Chlortetracycline HCl,2008-03-07,이화팜텍(주)
동물용의약품,018-122,제조,윌로벳 유한 이버멕틴양돈용,이버멕틴,Ivermectin,2008-03-07,이화팜텍(주)
동물용의약품,018-123,제조,윌로마린 유한-오티씨 500 수용산,옥시테트라싸이클린염산염,Oxytetracycline HCl,2008-03-25,이화팜텍(주)
동물용의약품,018-124,제조,윌로벳 유한 CTC 과립 100(WillowVet Yuhan CTC 100 Gr),클로로테트라사이클린칼슘염,Chlortetracycline calcium,2008-03-25,이화팜텍(주)
동물용의약품,018-125,제조,윌로벳 유한 윌로우산란촉진제,클로르테트라사이클린염산염+비타민+나이아신아미드+디-판토텐산칼슘,Chlortetracycline HCl+Vitamins+Niacin amide+Cacium Pantothenaete,2008-03-25,이화팜텍(주)
동물용의약품,018-126,제조,윌로벳 유한 디클라,디클라주릴,Diclazuril,2008-03-25,이화팜텍(주)
동물용의약품,018-128,제조,윌로벳 유한 바이탈 양계용,비타민 공급약(6개이상),Vitamin supplemental preparations,2008-04-18,이화팜텍(주)
동물용의약품,018-129,제조,윌로벳 유한 바이탈 양돈용,비타민 공급약(6개이상),Vitamin supplemental preparations,2008-04-18,이화팜텍(주)
동물용의약품,018-130,제조,윌로마린 유한 바이탈 양어용 프리믹스(수산용),비타민 공급약(6개이상),Vitamin supplemental preparations,2008-04-18,이화팜텍(주)
동물용의약품,018-131,제조,윌로벳 유한 올믹스-D,비타민공급약,Vitamin supplemental preparations,2008-04-18,이화팜텍(주)
동물용의약품,018-132,제조,윌로벳유한린펙(WilowVet Yuhan LINPEC),린코마이신+스펙티노마이신,Lincomycin+Spectinomycin,2007-06-04,이화팜텍(주)
동물용의약품,018-133,제조,윌로벳유한린코마이신(WillowVet Yuhan Lincomycin),린코마이신,Lincomycin,2007-06-04,이화팜텍(주)
동물용의약품,018-135,제조,윌로벳유한마두라마이신,마두라마이신암모늄,Maduramycin ammonium,1987-12-18,이화팜텍(주)
동물용의약품,018-136,제조,윌로벳유한피씨과립,피페라진,Piperazine,1976-04-06,이화팜텍(주)
동물용의약품,018-137,제조,윌로벳 유한 티아믹스플러스,클로르테트라사이클린,Chlortetracycline,2008-07-08,이화팜텍(주)
동물용의약품,018-138,제조,레바미졸(수출용)(Levamisol),레바미졸,Levamisole,2009-06-01,이화팜텍(주)
동물용의약품,018-139,제조,윌로벳 유한 이버멕틴(WillowVet Yuhan Ivermectin),이버멕틴,Ivermectin,2009-09-09,이화팜텍(주)
동물용의약품,018-140,제조,Doxy10 WSP(수출용),독시싸이클린,Doxycycline,2009-09-09,이화팜텍(주)
동물용의약품,018-141,제조,상그로비트(Sangrovit),상그로비트,Sangrovit,2009-10-26,이화팜텍(주)
동물용의약품,018-143,제조,이화 설파10(수출용)(Ewha Sulfa10),설파치아졸,Sulfathiazole,2009-12-02,이화팜텍(주)
동물용의약품,018-145,제조,아쿠플로액 100(AquaFor 100 solution),플로르페니콜,Florfenicol,2010-07-30,이화팜텍(주)
동물용의약품,018-146,제조,이화플로액 200(EwhaFlor 200 solution),플로르페니콜,Florfenicol,2010-07-30,이화팜텍(주)
동물용의약품,018-147,제조,이화 프라텔(수산용)(Ewha Pratel),프라지퀸텔,Praziquintel,2010-09-20,이화팜텍(주)
동물용의약품,018-148,제조,틸신 25(TILSIN 25),틸미코신포스페이트,Tilmicosin phosphate,2010-10-27,이화팜텍(주)
동물용의약품,018-149,제조,엔플록스 200(ENFLOX 200),엔로플록사신,Enrofloxacin,2010-11-11,이화팜텍(주)
동물용의약품,018-150,제조,이화플로액 100(EwhaFlor 100),플로르페니콜,Florfenicol,2010-11-11,이화팜텍(주)
동물용의약품,018-151,제조,코넨신(Conensin),모넨신나트륨,Monensin sodium,2011-10-04,이화팜텍(주)
동물용의약품,018-152,제조,틸신 100산(Tilsin 100 powder),틸미코신포스페이트,Tilmicosin phosphate,2011-11-30,이화팜텍(주)
동물용의약품,018-153,제조,이화 콜목시(수출용)(Ewha ColMoxi),아목시실린트리하이드레이트+콜리스틴,Amoxycillin trihydrate+Colistin sulfate,2012-05-18,이화팜텍(주)
동물용의약품,018-154,제조,시로플록스 10(수출용)(Ciroflox 10),시프로플록사신,Ciprofloxacine,2012-06-04,이화팜텍(주)
동물용의약품,018-155,제조,콜리파워 10(ColiPower 10),콜리스틴,Colistin,2012-06-13,이화팜텍(주)
동물용의약품,018-156,제조,콜리파워 20(ColiPower 20),콜리스틴,Colistin,2012-06-13,이화팜텍(주)
동물용의약품,018-157,제조,메디트릴액(Meditril sol),톨트라주릴,Toltrazuril,2012-07-11,이화팜텍(주)
동물용의약품,018-158,제조,스페리트론(수출용)(Speritron),에리스로마이신+스펙티노마이신+구아이페네신,Erythromycin+Spectinomycin+Guaifenesin,2012-07-23,이화팜텍(주)
동물용의약품,018-159,제조,이화 수산용 네오산 200(EWHA Aqua Neopowder 200),네오마이신,Neomycin,2012-09-06,이화팜텍(주)
동물용의약품,018-161,제조,피쉬목시 200(FishMoxy 200),아목시실린,Amoxicillin,2012-09-25,이화팜텍(주)
동물용의약품,018-162,제조,세팍신(수출용)(Cephaxin),세팔렉신,Cephalexin,2012-10-10,이화팜텍(주)
동물용의약품,018-163,제조,이화 펠록신 액(수출용)(Ehwa peloxine sol),페플록사신,Pefloxacine,2012-12-03,이화팜텍(주)
동물용의약품,018-164,제조,시라실 20(수출용)(CIRASIL 20),시프로플록사신,Ciprofloxacine,2013-02-27,이화팜텍(주)
동물용의약품,018-165,제조,코넨신 30(conensin 30),모넨신나트륨,Monensin sodium,2013-02-27,이화팜텍(주)
동물용의약품,018-166,제조,CRD 포르테(수출용)(CRD FORTE),티아물린+독시사이클린+비타민C,Tiamulin hydrogen fumarate+Doxycycline hyclate,2013-11-27,이화팜텍(주)
동물용의약품,018-167,제조,이화 암피클린(EWHA AmpiClean),암피실린,Ampicillin,2014-02-28,이화팜텍(주)
동물용의약품,018-168,제조,암피콜리스 플러스(AMPICOLIS PLUS),암피실린+콜리스틴,Ampicillin+Colistin sulfate,2014-03-20,이화팜텍(주)
동물용의약품,018-169,제조,윌로벳 유한 암피킹(WillowVet Yuhan AmpiKing),암피실린,Ampicillin,2014-04-24,이화팜텍(주)
동물용의약품,018-170,제조,썬플록스 15(수출용)(Sunflox 15),시프로플록사신,Ciprofloxacine,2014-12-15,이화팜텍(주)
동물용의약품,018-171,제조,썬틸코신 15(수출용)(SunTilcosin 15),틸미코신포스페이트,Tilmicosin phosphate,2014-12-15,이화팜텍(주)
동물용의약품,018-172,제조,윌로벳 유한 슈퍼 프리믹스(WillowVet Yuhan Super Premix),아목시실린+아세타미노펜+에페드린,Amoxicillin+Acetaminophen+Ephedrine,2015-04-17,이화팜텍(주)
동물용의약품,018-173,제조,윌로벳유한키목신울트라(WillowVet Yuhan Kymoxin Ultra),아목시실린트리하이드레이트+콜리스틴,Amoxycillin trihydrate+Colistin sulfate,2015-11-06,이화팜텍(주)
동물용의약품,018-174,제조,이화멕틴 펠릿(이버멕틴)(Ewhamectin Pellet),이버멕틴,Ivermectin,2016-01-21,이화팜텍(주)
동물용의약품,018-175,제조,이화멕 푸어-온 외용액(이버멕틴)(EWHAMEC Pour-on),이버멕틴,Ivermectin,2016-01-21,이화팜텍(주)
동물용의약품,018-176,제조,이화 아목콜리스산(수출용)(EWHA Amoxcolis),아목시실린트리하이드레이트+콜리스틴,Amoxycillin trihydrate+Colistin sulfate,2016-05-17,이화팜텍(주)
동물용의약품,018-177,제조,이화 타이로독스산(수출용)(EWHA TYLODOX47),독시싸이클린+타이로신,Doxycycline Tylosin,2016-05-26,이화팜텍(주)
동물용의약품,018-178,제조,이화 린코스틴산(수출용)(EWHA LINCOSTIN),린코마이신+콜리스틴,Lincomycin HCl+Colistin sulfate,2016-10-10,이화팜텍(주)
동물용의약품,018-179,제조,"이화 노플록스액(노플록사신, 수출용)(EWHA NOrflox200 sol)",노플록사신,Norfloxacine,2016-10-10,이화팜텍(주)
동물용의약품,018-180,제조,"콜리파워산 100g (콜리스틴황산염, 수출용)(COLIPower 100)",콜리스틴,Colistin,2016-12-06,이화팜텍(주)
동물용의약품,018-181,제조,이화 이버멕틴산 6g (수출용)(EWHA IVERMECTIN 6),이버멕틴,Ivermectin,2016-12-06,이화팜텍(주)
동물용의약품,018-182,제조,이화 썰토파액(수출용)(EWHA Sulthophar 48),트리메토프림+설파디아진,Trimethoprim+Sulfadiazine,2017-03-10,이화팜텍(주)
동물용의약품,018-183,제조,유한 윌로펜산(플로르페니콜)(Yuhan willofen powder),플로르페니콜,Florfenicol,2017-04-24,이화팜텍(주)
동물용의약품,018-184,제조,울트라펜 산(아세트아미노펜),아세트아미노펜(파라세타몰),Acetaminophen,2017-08-08,이화팜텍(주)
동물용의약품,018-185,제조,울트라펜 액(아세트아미노펜),아세트아미노펜(파라세타몰),Acetaminophen,2017-08-08,이화팜텍(주)
동물용의약품,018-186,제조,수출용 글로벌 멘트오일 액(Global MenthOil),유칼리유+리모넨+페퍼민트유+L-멘톨,Eucalyptus Oil+Limonene+Peppermint Oil+L-Menthol,2017-11-20,이화팜텍(주)
동물용의약품,018-187,제조,수출용 틸코신 플러스 액(Tilcosin Plus),틸미코신 인산염+독시사이클린하이클레이트,Tilmicosin phosphate+Doxycyline Hyclate,2017-11-20,이화팜텍(주)
동물용의약품,018-188,제조,수출용 썰트리파48 산(Sultriphar 48),트리메토프림+설파디메톡신,Trimethoprim+Sulfadimethoxine,2017-11-20,이화팜텍(주)
동물용의약품,018-189,제조,옴니쿠어산(펜벤다졸)(OMNICUR),펜벤다졸,Fenbendazole,2018-01-17,이화팜텍(주)
동물용의약품,018-190,제조,수출용 레보신 20액(Levocin 20),레보플록사신,Levofloxacin hydrate,2018-03-28,이화팜텍(주)
동물용의약품,018-191,제조,수출용 이화 린코산(EWHA Linco),린코마이신,Lincomycin,2018-05-09,이화팜텍(주)
동물용의약품,018-192,제조,수출용 이화 아목시 50(EWHA Amoxy 50),아목시실린,Amoxicillin,2018-12-20,이화팜텍(주)
동물용의약품,018-193,제조,수출용 엔로 250(Enro 250),엔로플록사신,Enrofloxacin,2018-12-20,이화팜텍(주)
동물용의약품,018-194,제조,수출용 이화플로액 250(EWHA Flor sol 250),플로르페니콜,Florfenicol,2018-12-20,이화팜텍(주)
동물용의약품,018-195,제조,유한 윌로펜 300액(플로르페니콜)(Yuhan Willofen 300 Liquid),플로르페니콜,Florfenicol,2020-01-30,이화팜텍(주)
동물용의약품,020-002,제조,이글 썰파-500,설파디메톡신,Sulfadimethoxine,1970-11-25,(주)이글벳
동물용의약품,020-003,제조,이글피페라진 과립,피페라진,Piperazine,1970-11-25,(주)이글벳
동물용의약품,020-005,제조,이글 AD3 믹스,비타민 A/D3,Vitamin A/D3,1970-11-25,(주)이글벳
동물용의약품,020-008,제조,옥탄-디(수출용)(OCCTAN-D),옥시테트라싸이클린염산염,Oxytetracycline HCl,1971-04-23,(주)이글벳
동물용의약품,020-011,제조,비타폴트.A(VITAPOULT A),기타영양공급약,Mineral supplemental preparations,1971-04-23,(주)이글벳
동물용의약품,020-012,제조,유니피드(UNIFEED),기타영양공급약,Mineral supplemental preparations,1971-06-28,(주)이글벳
동물용의약품,020-017,제조,셀프림 480,트리메토프림+설파메톡사졸,Trimethoprim+Sulfamethoxazole,1974-04-02,(주)이글벳
동물용의약품,020-019,제조,아이론-겐타(IRON GENTA),겐타마이신+덱스트란철,Gentamycin sulfate+Dextran iron,1974-04-02,(주)이글벳
동물용의약품,020-022,제조,유니피드에스더블유(UNIFEED-SW),기타영양공급약,Mineral supplemental preparations,1974-05-31,(주)이글벳
동물용의약품,020-023,제조,유니피드 디시(UNIFEED-DC),기타영양공급약,Mineral supplemental preparations,1974-05-31,(주)이글벳
동물용의약품,020-026,제조,알파에이디이산,비타민 A/D3/E,Vitamin A/D3/E,1974-05-31,(주)이글벳
동물용의약품,020-028,제조,네오킬톡소(주)(수출용),설파디메톡신+디피론+프레드니솔론+피리메타민,Sulfadimethoxine+Dipyrone+Prednisolone+Pirymethamine,1975-03-12,(주)이글벳
동물용의약품,020-030,제조,프레드니소론(주)(PREDNISOLONE),프레드니솔론,Prednisolone,1975-03-12,(주)이글벳
동물용의약품,020-031,제조,헤파비타 주,기타영양공급약,"Others, Nutrition supplemental preparations",1975-03-12,(주)이글벳
동물용의약품,020-039,제조,이글 타이로신-500,타이로신,Tylosin,1976-04-08,(주)이글벳
동물용의약품,020-045,제조,아비로시드,라사로시드나트륨,Lasalocid sodium,1978-01-14,(주)이글벳
동물용의약품,020-047,제조,콕시스피드(Cocci-Speed),암프롤리움+에토파베이트,Amprolium+Ethopabate,1978-12-23,(주)이글벳
동물용의약품,020-048,제조,이-토코(E-TOCO),비타민 E,Vitamin E,1978-12-23,(주)이글벳
동물용의약품,020-049,제조,콤비레스피,암피실린+에리스로마이신,Ampicillin+Erythromycin,1978-12-23,(주)이글벳
동물용의약품,020-050,제조,로비솔-50(ROVISOL-50),비타민 A/D3/E,Vitamin A/D3/E,1978-12-23,(주)이글벳
동물용의약품,020-053,제조,비피-믹스(BP MIX),기타영양공급약,Mineral supplemental preparations,1978-12-23,(주)이글벳
동물용의약품,020-054,제조,레이믹스(LAYMIX),기타영양공급약,Mineral supplemental preparations,1978-12-23,(주)이글벳
동물용의약품,020-055,제조,비에스믹스(VS MIX),기타영양공급약,Mineral supplemental preparations,1978-12-23,(주)이글벳
동물용의약품,020-056,제조,칼믹스(CAL MIX),기타영양공급약,Mineral supplemental preparations,1978-12-23,(주)이글벳
동물용의약품,020-057,제조,데스토마이신-10EG(수출용)(Destomycin-10EG),데스토마이신,Destomycin,1980-11-08,(주)이글벳
동물용의약품,020-058,제조,데스토마이신-20EG(수출용)(Destomycin-20EG),데스토마이신,Destomycin,1980-11-08,(주)이글벳
동물용의약품,020-061,제조,이글 겐타마이신(주)(Eagle Gentamycin Inj.),겐타마이신,Gentamycin,1980-11-08,(주)이글벳
동물용의약품,020-063,제조,콜리스틴-10EG(COLISTIN-10EG),콜리스틴,Colistin,1980-11-08,(주)이글벳
동물용의약품,020-070,제조,보비로시드,라사로시드나트륨,Lasalocid sodium,1983-11-12,(주)이글벳
동물용의약품,020-072,제조,카프 캐스트(CALF-CAST),유산,Lactic acid,1985-01-30,(주)이글벳
동물용의약품,020-073,제조,로비솔-AD3EC(ROVISOL AD3EC),비타민 A/D3/E/C,Vitamin A/D3/E/C,1985-01-30,(주)이글벳
동물용의약품,020-074,제조,씨엠피 275(C.M.P-275),페니실린지프로카인+클로르테트라싸이클린염산염+설파치아졸,Penicillin G procaine+Chlortetracyclin HCl+Sulfathiazole,1985-06-27,(주)이글벳
동물용의약품,020-075,제조,보비로시드 30,라사로시드나트륨,Lasalocid sodium,1985-07-13,(주)이글벳
동물용의약품,020-076,제조,타이로-PT,치암페니콜+타이로신+프레드니솔론,Thiamphenicol+Tylosin tartrate+Prednisolone,1986-01-18,(주)이글벳
동물용의약품,020-078,제조,비내용 가나마이신용액,카나마이신,Kanamycin,1986-01-18,(주)이글벳
동물용의약품,020-079,제조,브론졸마이신(BRONZOLMYCIN),옥시테트라싸이클린염산염+브롬헥신+리도카인,Oxytetracycline HCl+Bromhexine HCl+Lidocaine,1986-01-18,(주)이글벳
동물용의약품,020-080,제조,세파졸(CEFAZOL),세파졸린,Cefazolin,1986-01-18,(주)이글벳
동물용의약품,020-081,제조,아목사실린-200주(Amoxicillin-200 Inj),아목시실린,Amoxicillin,1986-01-18,(주)이글벳
동물용의약품,020-082,제조,하이코 바라-1000주(HI-COBANA-1000),비타민 B12,Vitamin B12,1986-02-21,(주)이글벳
동물용의약품,020-084,제조,이글타이론설파,타이로신+설파치아졸,Tylosin phosphate+Sulfathiazole,1986-04-04,(주)이글벳
동물용의약품,020-085,제조,우루소주(URSO INJ),우르소데스옥시콜린산,Ursodeoxycholic acids,1986-07-21,(주)이글벳
동물용의약품,020-088,제조,로비솔판-50(ROVISOLPAN-50),비타민공급약,Vitamin supplemental preparations,1986-12-08,(주)이글벳
동물용의약품,020-089,제조,트립토판-100,트립토판,Tryptophan,1986-12-08,(주)이글벳
동물용의약품,020-090,제조,B1 고농도주사(HIGH POTENCY B1 INJ),비타민 B1,Vitamin B1,1987-04-07,(주)이글벳
동물용의약품,020-091,제조,유니피드-해산어,비타민공급약,Vitamin supplemental preparations,1987-04-07,(주)이글벳
동물용의약품,020-092,제조,수산용유니피드,비타민공급약,Vitamin supplemental preparations,1987-04-07,(주)이글벳
동물용의약품,020-093,제조,우루소-20,우르소데스옥시콜린산,Ursodeoxycholic acids,1987-04-07,(주)이글벳
동물용의약품,020-094,제조,어류용우루소-20,우르소데스옥시콜린산,Ursodeoxycholic acids,1987-04-07,(주)이글벳
동물용의약품,020-095,제조,양어용 에리스로마이신,에리스로마이신,Erythromycin,1987-12-18,(주)이글벳
동물용의약품,020-097,제조,케포렉스 주(수출용)(CEPOREX INJ),세팔렉신,Cephalexin,1988-04-12,(주)이글벳
동물용의약품,020-100,제조,푸로락토 1호,유카추출물+효소+미생물배양체,Yucca extracts+Enzymes+Microorganism,1988-10-14,(주)이글벳
동물용의약품,020-102,제조,이글 염화코린-25,염화코린,Choline chloride,1989-04-04,(주)이글벳
